"","Year","Month","CO2"
"1",1958,3,315.71
"2",1958,4,317.45
"3",1958,5,317.5
"4",1958,6,317.1
"5",1958,7,315.86
"6",1958,8,314.93
"7",1958,9,313.2
"8",1958,10,312.66
"9",1958,11,313.33
"10",1958,12,314.67
"11",1959,1,315.62
"12",1959,2,316.38
"13",1959,3,316.71
"14",1959,4,317.72
"15",1959,5,318.29
"16",1959,6,318.15
"17",1959,7,316.54
"18",1959,8,314.8
"19",1959,9,313.84
"20",1959,10,313.26
"21",1959,11,314.8
"22",1959,12,315.58
"23",1960,1,316.43
"24",1960,2,316.97
"25",1960,3,317.58
"26",1960,4,319.02
"27",1960,5,320.03
"28",1960,6,319.59
"29",1960,7,318.18
"30",1960,8,315.91
"31",1960,9,314.16
"32",1960,10,313.83
"33",1960,11,315
"34",1960,12,316.19
"35",1961,1,316.93
"36",1961,2,317.7
"37",1961,3,318.54
"38",1961,4,319.48
"39",1961,5,320.58
"40",1961,6,319.77
"41",1961,7,318.57
"42",1961,8,316.79
"43",1961,9,314.8
"44",1961,10,315.38
"45",1961,11,316.1
"46",1961,12,317.01
"47",1962,1,317.94
"48",1962,2,318.56
"49",1962,3,319.68
"50",1962,4,320.63
"51",1962,5,321.01
"52",1962,6,320.55
"53",1962,7,319.58
"54",1962,8,317.4
"55",1962,9,316.26
"56",1962,10,315.42
"57",1962,11,316.69
"58",1962,12,317.69
"59",1963,1,318.74
"60",1963,2,319.08
"61",1963,3,319.86
"62",1963,4,321.39
"63",1963,5,322.25
"64",1963,6,321.47
"65",1963,7,319.74
"66",1963,8,317.77
"67",1963,9,316.21
"68",1963,10,315.99
"69",1963,11,317.12
"70",1963,12,318.31
"71",1964,1,319.57
"72",1964,2,320.07
"73",1964,3,320.73
"74",1964,4,321.77
"75",1964,5,322.25
"76",1964,6,321.89
"77",1964,7,320.44
"78",1964,8,318.7
"79",1964,9,316.7
"80",1964,10,316.79
"81",1964,11,317.79
"82",1964,12,318.71
"83",1965,1,319.44
"84",1965,2,320.44
"85",1965,3,320.89
"86",1965,4,322.13
"87",1965,5,322.16
"88",1965,6,321.87
"89",1965,7,321.39
"90",1965,8,318.81
"91",1965,9,317.81
"92",1965,10,317.3
"93",1965,11,318.87
"94",1965,12,319.42
"95",1966,1,320.62
"96",1966,2,321.59
"97",1966,3,322.39
"98",1966,4,323.87
"99",1966,5,324.01
"100",1966,6,323.75
"101",1966,7,322.39
"102",1966,8,320.37
"103",1966,9,318.64
"104",1966,10,318.1
"105",1966,11,319.79
"106",1966,12,321.08
"107",1967,1,322.07
"108",1967,2,322.5
"109",1967,3,323.04
"110",1967,4,324.42
"111",1967,5,325
"112",1967,6,324.09
"113",1967,7,322.55
"114",1967,8,320.92
"115",1967,9,319.31
"116",1967,10,319.31
"117",1967,11,320.72
"118",1967,12,321.96
"119",1968,1,322.57
"120",1968,2,323.15
"121",1968,3,323.89
"122",1968,4,325.02
"123",1968,5,325.57
"124",1968,6,325.36
"125",1968,7,324.14
"126",1968,8,322.03
"127",1968,9,320.41
"128",1968,10,320.25
"129",1968,11,321.31
"130",1968,12,322.84
"131",1969,1,324
"132",1969,2,324.42
"133",1969,3,325.64
"134",1969,4,326.66
"135",1969,5,327.34
"136",1969,6,326.76
"137",1969,7,325.88
"138",1969,8,323.67
"139",1969,9,322.38
"140",1969,10,321.78
"141",1969,11,322.85
"142",1969,12,324.11
"143",1970,1,325.03
"144",1970,2,325.99
"145",1970,3,326.87
"146",1970,4,328.13
"147",1970,5,328.07
"148",1970,6,327.66
"149",1970,7,326.35
"150",1970,8,324.69
"151",1970,9,323.1
"152",1970,10,323.16
"153",1970,11,323.98
"154",1970,12,325.13
"155",1971,1,326.17
"156",1971,2,326.68
"157",1971,3,327.18
"158",1971,4,327.78
"159",1971,5,328.92
"160",1971,6,328.57
"161",1971,7,327.34
"162",1971,8,325.46
"163",1971,9,323.36
"164",1971,10,323.57
"165",1971,11,324.8
"166",1971,12,326.01
"167",1972,1,326.77
"168",1972,2,327.63
"169",1972,3,327.75
"170",1972,4,329.72
"171",1972,5,330.07
"172",1972,6,329.09
"173",1972,7,328.05
"174",1972,8,326.32
"175",1972,9,324.93
"176",1972,10,325.06
"177",1972,11,326.5
"178",1972,12,327.55
"179",1973,1,328.54
"180",1973,2,329.56
"181",1973,3,330.3
"182",1973,4,331.5
"183",1973,5,332.48
"184",1973,6,332.07
"185",1973,7,330.87
"186",1973,8,329.31
"187",1973,9,327.51
"188",1973,10,327.18
"189",1973,11,328.16
"190",1973,12,328.64
"191",1974,1,329.35
"192",1974,2,330.71
"193",1974,3,331.48
"194",1974,4,332.65
"195",1974,5,333.2
"196",1974,6,332.16
"197",1974,7,331.07
"198",1974,8,329.12
"199",1974,9,327.32
"200",1974,10,327.28
"201",1974,11,328.3
"202",1974,12,329.58
"203",1975,1,330.73
"204",1975,2,331.46
"205",1975,3,331.9
"206",1975,4,333.17
"207",1975,5,333.94
"208",1975,6,333.45
"209",1975,7,331.98
"210",1975,8,329.95
"211",1975,9,328.5
"212",1975,10,328.34
"213",1975,11,329.37
"214",1975,12,330.58
"215",1976,1,331.59
"216",1976,2,332.75
"217",1976,3,333.52
"218",1976,4,334.64
"219",1976,5,334.77
"220",1976,6,334
"221",1976,7,333.06
"222",1976,8,330.68
"223",1976,9,328.95
"224",1976,10,328.75
"225",1976,11,330.15
"226",1976,12,331.62
